columns_and_rows;naive_multiplication_time;better_multiplication_time;blas_time
50;0.000336;0.000180;0.000127
50;0.000285;0.000142;0.000093
50;0.000330;0.000152;0.000095
50;0.000285;0.000151;0.000092
50;0.000285;0.000145;0.000092
50;0.000322;0.000174;0.000159
50;0.000379;0.000232;0.000175
50;0.000320;0.000174;0.000120
50;0.000354;0.000244;0.000190
50;0.000372;0.000229;0.000099
100;0.002541;0.001205;0.001022
100;0.002727;0.001096;0.000678
100;0.002524;0.001133;0.000655
100;0.002567;0.001112;0.000692
100;0.002533;0.001077;0.000645
100;0.002518;0.001122;0.000645
100;0.002589;0.001141;0.000714
100;0.002555;0.001104;0.000677
100;0.002531;0.001069;0.000624
100;0.002471;0.001063;0.000677
150;0.008501;0.003499;0.002101
150;0.008369;0.003468;0.002044
150;0.008369;0.003538;0.002076
150;0.008446;0.003418;0.002062
150;0.008439;0.003434;0.002054
150;0.008563;0.003420;0.002049
150;0.008492;0.003426;0.002057
150;0.008543;0.003431;0.002038
150;0.008376;0.003445;0.002042
150;0.008654;0.003436;0.002060
200;0.020429;0.008101;0.005001
200;0.020901;0.008044;0.004962
200;0.020249;0.008155;0.004922
200;0.020377;0.008042;0.004920
200;0.020354;0.008057;0.005400
200;0.020226;0.008177;0.005035
200;0.020259;0.008234;0.005021
200;0.020135;0.008164;0.004959
200;0.020370;0.008052;0.004958
200;0.020393;0.008095;0.005014
250;0.039719;0.015815;0.009791
250;0.039963;0.015624;0.009605
250;0.040220;0.015887;0.009749
250;0.039748;0.015754;0.009675
250;0.040106;0.015656;0.009558
250;0.040017;0.015701;0.009665
250;0.040019;0.015770;0.009687
250;0.039956;0.015748;0.009568
250;0.039945;0.015624;0.009768
250;0.039840;0.015861;0.009870
300;0.069432;0.027118;0.016544
300;0.069419;0.027232;0.016943
300;0.069433;0.027034;0.016879
300;0.069423;0.027037;0.016404
300;0.069401;0.026855;0.016509
300;0.069356;0.026765;0.016492
300;0.073165;0.027228;0.016558
300;0.069931;0.027228;0.016742
300;0.069792;0.026976;0.016697
300;0.070004;0.026875;0.016547
350;0.111896;0.042568;0.026088
350;0.112808;0.042897;0.026168
350;0.112399;0.043369;0.026154
350;0.112951;0.043222;0.026825
350;0.112554;0.043200;0.025978
350;0.112683;0.043060;0.026077
350;0.112627;0.044243;0.026180
350;0.112667;0.043900;0.026101
350;0.112599;0.043729;0.026348
350;0.112448;0.043518;0.026250
400;0.166302;0.063418;0.039185
400;0.165985;0.063765;0.039220
400;0.165727;0.064141;0.039204
400;0.167115;0.063451;0.039917
400;0.165888;0.063585;0.039348
400;0.166150;0.063733;0.039319
400;0.166153;0.064010;0.039017
400;0.166760;0.063508;0.038961
400;0.166198;0.063789;0.038913
400;0.165946;0.064044;0.038887
450;0.238445;0.090680;0.055016
450;0.239144;0.090882;0.055008
450;0.238814;0.091542;0.055507
450;0.239332;0.090742;0.055134
450;0.238871;0.090244;0.055407
450;0.238698;0.090656;0.054921
450;0.238501;0.090433;0.055124
450;0.239214;0.090052;0.055462
450;0.239018;0.090264;0.055378
450;0.238410;0.090186;0.055496
500;0.329958;0.124020;0.075604
500;0.329382;0.123660;0.075940
500;0.328796;0.124414;0.075747
500;0.329637;0.124334;0.075751
500;0.334567;0.123452;0.075804
500;0.329645;0.124341;0.075454
500;0.329033;0.123470;0.075086
500;0.329282;0.124024;0.075826
500;0.331307;0.123503;0.075462
500;0.328712;0.124064;0.076109
550;0.439120;0.164990;0.100547
550;0.446077;0.164790;0.100553
550;0.439666;0.165879;0.100307
550;0.436780;0.176439;0.100522
550;0.438579;0.165113;0.100362
550;0.438782;0.166176;0.101153
550;0.439028;0.165613;0.100671
550;0.437812;0.164551;0.100397
550;0.442657;0.164985;0.100540
550;0.439472;0.164962;0.100585
600;0.574072;0.216786;0.131984
600;0.571898;0.214321;0.130559
600;0.572446;0.214646;0.136782
600;0.663754;0.215920;0.130237
600;0.570513;0.213851;0.133233
600;0.571405;0.213484;0.131033
600;0.574078;0.214537;0.129935
600;0.572017;0.214341;0.130133
600;0.700463;0.217812;0.129946
600;0.570542;0.213966;0.131185
650;0.731642;0.273840;0.171814
650;0.729826;0.273066;0.168252
650;0.727810;0.271469;0.165203
650;0.759470;0.275161;0.164624
650;0.730703;0.271707;0.165524
650;0.735659;0.273752;0.166916
650;0.799818;0.278215;0.166156
650;0.814264;0.275508;0.164765
650;0.736412;0.270974;0.164769
650;0.726060;0.271049;0.165381
700;0.909947;0.339705;0.204349
700;0.926351;0.339457;0.205046
700;0.929413;0.341472;0.205378
700;1.098063;0.350271;0.205199
700;0.913515;0.341298;0.205617
700;0.952238;0.345798;0.205239
700;0.922849;0.341085;0.207351
700;0.910298;0.339682;0.204413
700;0.908780;0.341739;0.204614
700;0.908283;0.339381;0.204193
750;1.132651;0.419046;0.255739
750;1.157687;0.421314;0.251613
750;1.117569;0.426073;0.251169
750;1.116557;0.419629;0.251232
750;1.117984;0.418732;0.250662
750;1.116311;0.418660;0.250416
750;1.115735;0.419866;0.250681
750;1.118683;0.420663;0.250410
750;1.124363;0.420588;0.251949
750;1.115732;0.418833;0.254947
800;1.376755;0.508320;0.307803
800;1.384298;0.510095;0.308958
800;1.373201;0.508305;0.308229
800;1.372500;0.508562;0.308653
800;1.379420;0.508695;0.309382
800;1.370930;0.508352;0.310300
800;1.371926;0.509586;0.307491
800;1.382155;0.511737;0.308801
800;1.370660;0.508102;0.312378
800;1.377764;0.508295;0.307900
850;1.715718;0.618986;0.392092
850;1.732776;0.617753;0.399413
850;1.744016;0.620483;0.381173
850;1.727092;0.617178;0.379919
850;1.726403;0.616857;0.393697
850;1.703258;0.619267;0.379292
850;1.792956;0.624881;0.384064
850;1.744943;0.617809;0.388578
850;1.750184;0.621372;0.409631
850;1.748441;0.619355;0.387748
900;2.852069;0.758913;0.525849
900;2.921050;0.752100;0.519166
900;2.613930;0.755667;0.520446
900;2.624302;0.756532;0.517384
900;2.635709;0.757174;0.522560
900;2.824603;0.753606;0.518764
900;2.628892;0.756763;0.517551
900;2.672987;0.754596;0.518279
900;2.639686;0.756321;0.515325
900;2.647048;0.758843;0.516465
950;2.657518;0.903251;0.619733
950;2.764394;0.895736;0.615499
950;2.653251;0.903469;0.618444
950;2.655776;0.903522;0.619756
950;2.656864;0.906217;0.616541
950;2.656685;0.906137;0.615444
950;2.650842;0.903309;0.619902
950;2.659195;0.904691;0.615495
950;2.652099;0.904101;0.616524
950;2.650762;0.903688;0.617447
1000;4.932743;1.052349;0.725950
1000;4.963629;1.047812;0.731568
1000;4.969306;1.053545;0.725839
1000;4.936936;1.053994;0.733844
1000;4.949276;1.056460;0.725481
1000;4.938278;1.053723;0.733818
1000;4.906289;1.050320;0.732313
1000;4.929375;1.053964;0.728015
1000;4.911386;1.045900;0.731101
1000;4.933909;1.053274;0.733938
