columns_and_rows;naive_time;better_time;blas_time
50;0.001167;0.000901;0.000138
50;0.000640;0.000661;0.000106
50;0.000722;0.000845;0.000159
50;0.000681;0.000655;0.000132
50;0.000619;0.000649;0.000111
50;0.000643;0.000683;0.000122
50;0.000620;0.000621;0.000097
50;0.000591;0.000582;0.000111
50;0.000545;0.000612;0.000100
50;0.000571;0.000585;0.000113
100;0.004482;0.004714;0.000713
100;0.004552;0.004466;0.000695
100;0.004498;0.004670;0.000706
100;0.004547;0.004701;0.000665
100;0.004443;0.004456;0.000671
100;0.004267;0.004243;0.000629
100;0.004177;0.004190;0.000628
100;0.004163;0.004196;0.000635
100;0.004179;0.004460;0.000752
100;0.004582;0.004607;0.000659
150;0.014519;0.014256;0.002093
150;0.014091;0.014186;0.002063
150;0.014045;0.014036;0.002043
150;0.014000;0.014073;0.002077
150;0.014342;0.014187;0.002068
150;0.014006;0.014192;0.002075
150;0.014027;0.014005;0.002082
150;0.013990;0.013960;0.002094
150;0.014015;0.013972;0.002063
150;0.014034;0.014198;0.002047
200;0.038820;0.033118;0.004972
200;0.039052;0.033455;0.005087
200;0.039978;0.032993;0.005051
200;0.038958;0.033054;0.004913
200;0.038485;0.032975;0.004884
200;0.038914;0.033058;0.004992
200;0.039148;0.033141;0.005017
200;0.040430;0.033164;0.004977
200;0.039092;0.033025;0.004931
200;0.039531;0.033816;0.005009
250;0.075052;0.064015;0.009696
250;0.076912;0.064362;0.009863
250;0.075404;0.064013;0.009971
250;0.074704;0.065522;0.009918
250;0.075109;0.064082;0.009739
250;0.075430;0.065440;0.010124
250;0.075203;0.064791;0.009726
250;0.075326;0.064990;0.009811
250;0.075476;0.064578;0.009707
250;0.074993;0.064227;0.009824
300;0.141007;0.110874;0.017766
300;0.141236;0.110392;0.016745
300;0.140814;0.111377;0.016831
300;0.143689;0.110787;0.016836
300;0.140664;0.110887;0.016590
300;0.142139;0.110394;0.016832
300;0.140726;0.110479;0.016670
300;0.141057;0.111025;0.016716
300;0.141400;0.110896;0.016819
300;0.143198;0.111327;0.016967
350;0.216542;0.174675;0.026519
350;0.218887;0.175089;0.026559
350;0.217330;0.176060;0.026534
350;0.217375;0.174882;0.026335
350;0.218814;0.175218;0.026255
350;0.218447;0.174838;0.026139
350;0.217888;0.176070;0.026454
350;0.220416;0.174725;0.026187
350;0.219252;0.174917;0.026289
350;0.218114;0.175845;0.026188
400;0.344005;0.261644;0.038616
400;0.343766;0.260829;0.039188
400;0.344254;0.260625;0.038760
400;0.343971;0.260810;0.038958
400;0.343819;0.261078;0.039464
400;0.343866;0.260813;0.041358
400;0.344669;0.261195;0.039374
400;0.344303;0.260332;0.039533
400;0.344222;0.261398;0.039434
400;0.343729;0.260520;0.039601
450;0.471604;0.370887;0.055431
450;0.471498;0.369794;0.055724
450;0.471566;0.371663;0.055431
450;0.470925;0.370318;0.055580
450;0.471778;0.371256;0.055444
450;0.471874;0.370789;0.055430
